ACCNUM,X,Y,Index_,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,Division,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVAGE,INJURY,FATAL_NO,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourhood,ObjectId
884326,-8837341.566,5414691.353999999,3367251,2006,2006/01/22 05:00:00+00,1800,18,YONGE ST,CUMBERLAND ST,,Major Arterial,Toronto and East York,11.0,53,43.671145,-79.38719,Intersection,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,unknown,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,98,Rosedale-Moore Park (98),69
884560,-8827044.513,5426117.937000001,3367753,2006,2006/01/24 05:00:00+00,145,1,WARDEN AVE,LAWRENCE AVE E,,Major Arterial,Scarborough,21.0,41,43.745345,-79.29469,Intersection,,Traffic Signal,Clear,Dawn,Dry,Fatal,Angle,unknown,3,,0,0,1,0,0,0,0,1,1,1,0,0,0,119,Wexford/Maryvale (119),73
884714,-8836929.684,5416676.901000001,3368161,2006,2006/01/24 05:00:00+00,2220,22,MOUNT PLEASANT RD,WHITEHALL RD,,Major Arterial,Toronto and East York,11.0,53,43.684045000000005,-79.38349000000001,Intersection,At Intersection,No Control,Rain,Dark,Wet,Fatal,Turning Movement,unknown,3,,0,0,1,0,0,0,0,1,1,1,0,0,0,98,Rosedale-Moore Park (98),82
884756,-8813240.897,5435075.057999999,3368259,2006,2006/01/24 05:00:00+00,754,7,DEAN PARK RD,BRAYMORE BLVD,,Collector,Scarborough,25.0,42,43.803445,-79.17069000000001,Intersection,At Intersection,Stop Sign,Clear,Daylight,Wet,Fatal,Pedestrian Collisions,75 to 79,3,,1,0,1,0,0,0,0,1,0,1,0,0,0,131,Rouge (131),76
885650,-8852614.6,5406553.533,3370087,2006,2006/01/29 05:00:00+00,2048,20,F G GARDINER XY W  W,KIPLING AVE,,,Etobicoke York,3.0,22,43.618245,-79.52439,Mid-Block,,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,20 to 24,3,,1,0,1,0,0,0,0,0,0,0,0,0,0,17,Mimico (includes Humber Bay Shores) (17),92
885782,-8842506.791000001,5412229.253,3370334,2006,2006/01/04 05:00:00+00,1940,19,DUFFERIN ST,SYLVAN AVE,,Major Arterial,Toronto and East York,9.0,14,43.655145000000005,-79.43359,Mid-Block,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,75 to 79,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,83,Dufferin Grove (83),17
886039,-8822922.687,5436057.942000001,3370697,2006,2006/01/09 05:00:00+00,1820,18,FINCH AVE E,MIDDLEFIELD RD,,Major Arterial,Scarborough,23.0,42,43.809816999999995,-79.257663,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,unknown,2,,1,0,0,0,0,1,0,0,0,0,0,0,0,129,Agincourt North (129),38
886230,-8824918.311,5431358.569,3371161,2006,2006/01/21 05:00:00+00,1829,18,MIDLAND AVE,GOODLAND GT,,Major Arterial,Scarborough,,42,43.779345,-79.27559000000001,Intersection,At Intersection,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,50 to 54,3,,1,0,1,0,0,0,0,0,1,1,0,0,0,128,Agincourt South-Malvern West (128),63
886552,-8847994.842,5413829.544,3372030,2006,2006/01/15 05:00:00+00,1812,18,3367 DUNDAS ST W,,,Major Arterial,Toronto and East York,4.0,11,43.665545,-79.48289,Mid-Block,,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,50 to 54,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,89,Runnymede-Bloor West Village (89),53
886573,-8839835.123,5419802.308999999,3372088,2006,2006/01/14 05:00:00+00,2058,20,EGLINTON AVE W,BRAEMAR AVE,,Major Arterial,North York,,53,43.704345,-79.40959000000001,Intersection,,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,25 to 29,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,100,Yonge-Eglinton (100),51
886747,-8814587.862,5429786.067000001,3372556,2006,2006/01/17 05:00:00+00,2200,22,LAWRENCE AVE E,COLLINSGROVE RD,,Minor Arterial,Scarborough,25.0,43,43.769145,-79.18279,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,60 to 64,2,,1,0,1,0,0,0,0,0,0,1,0,0,0,136,West Hill (136),57
887039,-8841282.276,5428213.833,3373265,2006,2006/01/17 05:00:00+00,1940,19,SHEPPARD AVE W,SENLAC RD,,Major Arterial,North York,18.0,32,43.758945000000004,-79.42259,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,55 to 59,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,38,Lansing-Westgate (38),55
887237,-8840814.734,5413521.775,3373787,2006,2006/01/27 05:00:00+00,2046,20,BLOOR ST W,CHRISTIE ST,,Major Arterial,Toronto and East York,11.0,14,43.663545,-79.41839,Intersection,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,unknown,2,,1,0,1,0,0,0,0,0,1,1,0,0,0,80,Palmerston-Little Italy (80),87
887427,-8848829.738,5413552.551,3374272,2006,2006/02/07 05:00:00+00,1330,13,JANE ST,BRADLEY AVE,,Major Arterial,Toronto and East York,4.0,11,43.663745,-79.49039,Mid-Block,,Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,80 to 84,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,89,Runnymede-Bloor West Village (89),204
887568,-8834615.018,5411667.832,3374638,2006,2006/01/08 05:00:00+00,1507,15,PARLIAMENT ST,FRONT ST E,,Minor Arterial,Toronto and East York,13.0,51,43.651496,-79.362697,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,unknown,2,,0,0,1,0,0,0,0,0,0,1,1,0,0,77,Waterfront Communities-The Island (77),26
887637,-8860540.548,5417092.535,3602930,2006,2006/02/08 05:00:00+00,1500,15,CARLINGVIEW DR,DIXON RD,,Major Arterial,Etobicoke York,1.0,23,43.686745,-79.59559,Intersection,,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,80 to 84,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,West Humber-Clairville (1),208
888108,-8824239.262,5424669.582,3532549,2006,2006/02/12 05:00:00+00,845,8,840 KENNEDY RD,,,Major Arterial,Scarborough,21.0,41,43.735945,-79.26949,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,5 to 9,2,,0,0,1,0,0,0,0,1,0,0,0,0,0,125,Ionview (125),216
888231,-8827679.035,5421065.089,3376287,2006,2006/02/13 05:00:00+00,925,9,GLENBURN AVE,TIAGO AVE,,Local,Toronto and East York,19.0,54,43.712545,-79.30039000000001,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,unknown,2,,1,0,1,0,0,0,0,0,0,1,0,0,0,54,O'Connor-Parkview (54),225
888497,-8832610.488,5417184.9,3376951,2006,2006/02/15 05:00:00+00,935,9,WESTWOOD AVE,WOODYCREST AVE,,Local,Toronto and East York,14.0,54,43.687345,-79.34469,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,unknown,3,,1,0,0,0,0,0,0,0,0,1,0,0,0,59,Danforth East York (59),234
888639,-8856588.706,5423067.411,3377280,2006,2006/02/16 05:00:00+00,620,6,2443 ISLINGTON AVE,,,Major Arterial,Etobicoke York,1.0,23,43.725545000000004,-79.56009,Mid-Block,,No Control,Snow,Daylight,Slush,Non-Fatal Injury,SMV Other,unknown,2,,0,0,1,0,0,0,0,0,1,1,0,0,0,5,Elms-Old Rexdale (5),236
889218,-8818728.947,5435800.025,3378690,2006,2006/02/20 05:00:00+00,1840,18,NEILSON RD,MCLEVIN AVE,,Minor Arterial,Scarborough,,42,43.808145,-79.21999,Mid-Block,,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,unknown,3,,1,0,1,0,0,0,0,0,0,0,0,0,0,132,Malvern (132),246
889323,-8840013.234,5416769.262999999,3378948,2006,2006/01/29 05:00:00+00,2130,21,ST CLAIR AVE W,SPADINA RD,,Major Arterial,Toronto and East York,12.0,53,43.684645,-79.41119,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,65 to 69,2,,1,0,1,0,0,0,0,0,0,1,0,0,0,96,Casa Loma (96),94
889773,-8838677.4,5412336.957,3380164,2006,2006/02/02 05:00:00+00,1421,14,SPADINA AVE,NASSAU ST,,Major Arterial,Toronto and East York,11.0,52,43.655845,-79.39919,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,unknown,2,,0,0,1,0,0,1,0,1,0,0,0,0,0,78,Kensington-Chinatown (78),98
889954,-8828424.875,5434643.19,3380670,2006,2006/02/03 05:00:00+00,758,7,BIRCHMOUNT RD,L AMOREAUX DR,,Major Arterial,Scarborough,22.0,42,43.800645,-79.30709,Intersection,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,70 to 74,2,,1,0,1,0,0,0,0,0,0,1,0,0,0,117,L'Amoreaux (117),100
890013,-8826677.159,5428907.432,3551058,2006,2006/02/03 05:00:00+00,957,9,ELLESMERE RD,BIRCHMOUNT RD,,Major Arterial,Scarborough,21.0,41,43.763445000000004,-79.29139,Intersection,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,65 to 69,2,,1,0,1,0,0,0,0,0,0,1,0,0,0,126,Dorset Park (126),202
890040,-8859661.124,5413906.488,3380901,2006,2006/02/24 05:00:00+00,837,8,EGLINTON AVE W,RENFORTH DR,,Major Arterial,Etobicoke York,2.0,22,43.666045000000004,-79.58769000000001,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,unknown,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,11,Eringate-Centennial-West Deane (11),256
890213,-8838254.386,5414799.086,3381354,2006,2006/02/25 05:00:00+00,1529,15,AVENUE RD,ELGIN AVE,,Major Arterial,Toronto and East York,11.0,53,43.671845000000005,-79.39539,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,unknown,2,,1,0,1,0,0,0,0,0,0,1,0,0,0,95,Annex (95),259
890220,-8833779.343,5412260.026000001,3381380,2006,2006/02/26 05:00:00+00,430,4,ADELAIDE ST E,EASTERN DIVERSION AVE,,Major Arterial,Toronto and East York,13.0,51,43.655345000000004,-79.35519000000001,Mid-Block,,No Control,Clear,Dark,Loose Snow,Non-Fatal Injury,SMV Other,unknown,2,,0,0,1,0,0,0,0,1,1,1,0,0,0,73,Moss Park (73),270
890325,-8840358.325,5429385.276000001,3381638,2006,2006/01/27 05:00:00+00,2301,23,NORTH YORK BLVD,BEECROFT RD,,Collector,North York,18.0,32,43.766545,-79.41429000000001,Mid-Block,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,unknown,2,,0,0,1,0,0,0,0,1,1,1,0,0,0,38,Lansing-Westgate (38),90
890506,-8859093.395,5421773.552999999,3382084,2006,2006/02/27 05:00:00+00,501,5,MARTIN GROVE RD,RACINE RD,,Major Arterial,Etobicoke York,1.0,23,43.717145,-79.58259,Mid-Block,,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,unknown,3,,1,0,1,0,0,0,0,0,1,1,0,0,0,1,West Humber-Clairville (1),273
890516,-8842640.374,5425378.323,3382113,2006,2006/02/21 05:00:00+00,1846,18,BATHURST ST,ALLINGHAM GDNS,,Major Arterial,North York,6.0,32,43.740545000000004,-79.43479,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,75 to 79,2,,1,0,1,0,0,0,0,0,0,1,0,0,0,38,Lansing-Westgate (38),248
890583,-8847571.828,5412644.687000001,3382291,2006,2006/02/08 05:00:00+00,745,7,WOODSIDE AVE,RUNNYMEDE RD,,Minor Arterial,Toronto and East York,4.0,11,43.657845,-79.47909,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,50 to 54,2,,1,0,1,0,0,0,0,0,0,1,0,0,0,88,High Park North (88),206
890767,-8859627.728,5413998.822000001,3382784,2006,2006/02/28 05:00:00+00,1754,17,RENFORTH DR,EGLINTON AVE W,,Major Arterial,Etobicoke York,2.0,22,43.666645,-79.58739,Mid-Block,,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,55 to 59,2,,0,0,1,0,0,0,0,0,0,0,0,0,0,11,Eringate-Centennial-West Deane (11),279
891027,-8830573.341,5427258.292,3383486,2006,2006/02/11 05:00:00+00,1804,18,UNDERHILL DR,CASSANDRA BLVD,,Collector,North York,16.0,33,43.752745000000004,-79.32639,Intersection,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,65 to 69,2,,0,1,1,0,0,0,0,0,0,0,0,0,0,45,Parkwoods-Donalda (45),210
891178,-8847994.842,5417338.845,3383880,2006,2006/02/14 05:00:00+00,520,5,EGLINTON AVE W,BLACK CREEK DR,,Major Arterial,Etobicoke York,5.0,12,43.688345,-79.48289,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,unknown,2,,0,0,1,0,0,0,0,0,1,1,1,0,0,110,Keelesdale-Eglinton West (110),231
891189,-8832766.335,5416415.216,3383913,2006,2006/02/12 05:00:00+00,856,8,PAPE AVE,CANNING AVE,,Major Arterial,Toronto and East York,14.0,54,43.682345,-79.34609,Intersection,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,unknown,2,,0,0,1,0,0,0,0,0,1,1,0,0,0,66,Danforth (66),222
891641,-8842083.777,5413367.893999999,3385084,2006,2006/02/16 05:00:00+00,2159,21,DOVERCOURT RD,NORTHUMBERLAND ST,,Minor Arterial,Toronto and East York,9.0,14,43.662545,-79.42979,Mid-Block,,No Control,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,unknown,2,,1,0,1,0,0,0,0,0,0,1,0,0,0,93,Dovercourt-Wallace Emerson-Junction (93),239
891993,-8847838.993999999,5408014.429,3386002,2006,2006/03/06 05:00:00+00,2222,22,F G GARDINER XY  W,PARK LAWN RD,,,Etobicoke York,3.0,22,43.627745000000004,-79.48149000000001,Mid-Block,,No Control,Clear,Dark,Dry,Fatal,Sideswipe,unknown,3,,0,0,1,0,0,0,0,1,0,0,0,1,0,17,Mimico (includes Humber Bay Shores) (17),295
892432,-8821645.518,5424839.058999999,3387140,2006,2006/02/28 05:00:00+00,2334,23,DANFORTH RD,EGLINTON AVE E,,Major Arterial,Scarborough,,43,43.737045,-79.24619,,,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,unknown,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,138,Eglinton East (138),283
892453,-8852169.322,5406645.793,3387203,2006,2006/03/08 05:00:00+00,2018,20,F G GARDINER XY E  E,KIPLING AVE,,,Etobicoke York,3.0,22,43.618845,-79.52039,Mid-Block,,No Control,Clear,Dark,Dry,Fatal,Rear End,unknown,3,,0,0,1,0,0,0,0,1,0,0,0,0,0,17,Mimico (includes Humber Bay Shores) (17),300
892658,-8844610.729,5412413.887999999,3387731,2006,2006/03/11 05:00:00+00,852,8,BLOOR ST W,DUNDAS ST W,,Major Arterial,Toronto and East York,4.0,11,43.656345,-79.45249,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,unknown,3,,1,0,1,0,0,0,0,0,0,1,0,0,0,88,High Park North (88),803
892682,-8822758.713,5424515.515,3387795,2006,2006/03/12 05:00:00+00,240,2,EGLINTON AVE E,COMMONWEALTH AVE,,Major Arterial,Scarborough,,41,43.734945,-79.25619,Mid-Block,,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,40 to 44,3,,1,0,1,0,0,0,0,0,0,0,0,1,0,138,Eglinton East (138),808
892810,-8816479.848,5434843.3889999995,3388102,2006,2006/03/11 05:00:00+00,915,9,MORNINGSIDE AVE,SHEPPARD AVE E,,Major Arterial,Scarborough,25.0,42,43.801943,-79.199786,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,unknown,3,,0,0,1,1,0,0,0,0,0,1,1,0,0,131,Rouge (131),805
892913,-8841081.901,5411336.904,3388372,2006,2006/03/12 05:00:00+00,1903,19,OSSINGTON AVE,DUNDAS ST W,,Major Arterial,Toronto and East York,,14,43.649345000000004,-79.42079,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,30 to 34,2,,1,0,1,0,0,0,0,0,0,1,0,1,0,81,Trinity-Bellwoods (81),810
892999,-8828903.549,5417662.137,3532604,2006,2006/01/17 05:00:00+00,2350,23,KING EDWARD AVE,BURRELL AVE,,Local,Toronto and East York,19.0,54,43.690445000000004,-79.31139,Mid-Block,,No Control,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,unknown,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,60,Woodbine-Lumsden (60),60
893071,-8835115.176,5421142.092999999,3388769,2006,2006/02/19 05:00:00+00,1508,15,EGLINTON AVE E,SUTHERLAND DR,,Major Arterial,North York,15.0,53,43.713045,-79.36719000000001,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,45 to 49,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,56,Leaside-Bennington (56),241
893184,-8829728.092,5419070.899,3389074,2006,2006/01/01 05:00:00+00,236,2,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,19.0,54,43.699595,-79.318797,Intersection,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,unknown,2,,0,0,1,0,0,0,0,1,1,1,0,1,0,60,Woodbine-Lumsden (60),8
893251,-8855097.025,5418678.272000001,3389259,2006,2006/03/15 05:00:00+00,1535,15,ISLINGTON AVE,DIXON RD,,Major Arterial,Etobicoke York,,23,43.697045,-79.54669,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,40 to 44,3,,1,0,1,0,0,0,0,0,0,0,0,0,0,6,Kingsview Village-The Westway (6),812
893365,-8842228.492,5409629.372,3389517,2006,2006/02/20 05:00:00+00,607,6,1302 KING ST W,,,Major Arterial,Toronto and East York,4.0,14,43.638245,-79.43109,Intersection,,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,40 to 44,2,,0,0,1,0,0,0,0,1,1,1,0,0,0,85,South Parkdale (85),243
893520,-8856455.123,5408060.566000001,3389948,2006,2006/02/23 05:00:00+00,700,7,DUNDAS ST W,427 C S DUNDAS RAMP S,,Major Arterial,Etobicoke York,,22,43.628045,-79.55889,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,unknown,2,,0,0,1,0,0,0,0,0,0,1,1,0,0,12,Markland Wood (12),251
893539,-8841282.276,5418170.191000001,3390001,2006,2006/02/23 05:00:00+00,1350,13,ARDMORE RD,BATHURST ST,,Major Arterial,Toronto and East York,12.0,13,43.693745,-79.42259,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,75 to 79,2,,1,0,1,0,0,0,0,0,0,1,0,0,0,101,Forest Hill South (101),253
893580,-8815044.272,5430017.3,3390111,2006,2006/02/27 05:00:00+00,1955,19,MORNINGSIDE AVE,KINGSTON RD,,Major Arterial,Scarborough,,43,43.770645,-79.18689,Intersection,,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,unknown,2,,0,1,0,0,0,1,0,0,0,1,0,0,0,136,West Hill (136),278
893720,-8839245.13,5430680.2020000005,3390474,2006,2006/03/18 05:00:00+00,343,3,WILLOWDALE AVE,MCKEE AVE,,Minor Arterial,North York,18.0,32,43.774945,-79.40429,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Angle,unknown,2,,0,0,1,0,0,0,0,1,0,1,0,0,0,51,Willowdale East (51),834
893964,-8820042.517,5432052.406,3391146,2006,2006/03/20 05:00:00+00,755,7,941 PROGRESS AVE,,,Minor Arterial,Scarborough,24.0,43,43.783845,-79.23179,Mid-Block,,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,60 to 64,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,137,Woburn (137),847
894030,-8849241.62,5419894.701,3391330,2006,2006/03/20 05:00:00+00,2100,21,BLACK CREEK DR,LAWRENCE AVE W,,Major Arterial,Etobicoke York,5.0,12,43.704945,-79.49409,Intersection,,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,30 to 34,2,,0,0,1,0,0,0,0,1,0,1,0,0,0,30,Brookhaven-Amesbury (30),850
894195,-8833512.176,5417385.029,3391771,2006,2006/03/01 05:00:00+00,1110,11,COSBURN AVE,LOGAN AVE,,Minor Arterial,Toronto and East York,14.0,54,43.688645,-79.35279,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,80 to 84,2,,0,1,1,0,0,0,0,0,0,0,0,0,0,57,Broadview North (57),285
894423,-8847505.036,5420772.477999999,3392382,2006,2006/03/22 05:00:00+00,1435,14,2423 KEELE ST,,,Major Arterial,Etobicoke York,5.0,12,43.710645,-79.47849000000001,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,unknown,2,,0,0,1,0,0,0,0,0,0,0,0,0,1,29,Maple Leaf (29),853
894467,-8832833.127,5412906.266,3392503,2006,2006/02/27 05:00:00+00,1723,17,QUEEN ST E,BOULTON AVE,,Minor Arterial,Toronto and East York,14.0,55,43.659545,-79.34669,Intersection,At Intersection,Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,60 to 64,2,,1,0,1,0,0,0,0,0,0,1,0,0,0,70,South Riverdale (70),275
894735,-8833178.217,5413414.057999999,3393204,2006,2006/03/25 05:00:00+00,1850,18,910 DUNDAS ST E,,,Minor Arterial,Toronto and East York,14.0,55,43.662845000000004,-79.34979,Mid-Block,,No Control,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,unknown,2,,1,0,1,0,0,0,0,0,0,1,0,0,0,70,South Riverdale (70),860
